input_name,bom_name,site,lat,lon,match_type,match_score
AMBERLEY AMO,AMBERLEY AMO,040004,-27.6297,152.7111,exact,
AYR DPI RESEARCH STN,AYR DPI RESEARCH STN,033002,-19.6169,147.3758,exact,
BADGINGARRA RESEARCH STN,BADGINGARRA RESEARCH STN,009037,-30.3381,115.5394,exact,
BALLERA GAS FIELD,BALLERA GAS FIELD,045009,-27.4008,141.8114,exact,
BEERBURRUM FOREST STATION,BEERBURRUM FOREST STATION,040284,-26.9586,152.9619,exact,
BRAIDWOOD RACECOURSE,BRAIDWOOD RACECOURSE AWS,069132,-35.4253,149.7835,fuzzy,0.9090909090909091
BREAKWATER (GEELONG RACECOURSE),BREAKWATER (GEELONG RACECOURSE),087184,-38.1737,144.3766,exact,
BRISBANE AERO,BRISBANE AERO (AUTO EVAP),140842,-27.3917,153.1292,exact,
BUNDABERG AERO,BUNDABERG,039170,-24.8664,152.35,exact,
BUSHY PARK (BUSHY PARK ESTATES),BUSHY PARK (BUSHY PARK ESTATES),095003,-42.7097,146.8983,exact,
BYRON BAY (CAPE BYRON),BYRON BAY,058233,-28.6495,153.6172,exact,
CABRAMURRA SMHEA,CABRAMURRA SMHEA,072091,-35.9383,148.3842,exact,
CAIRNS AERO,CAIRNS AERO (AUTO EVAP),031229,-16.8736,145.7458,exact,
CAIRNS RACECOURSE,CAIRNS RACECOURSE,031222,-16.9463,145.7474,exact,
CAMOOWEAL TOWNSHIP,CAMOOWEAL TOWNSHIP,037010,-19.9225,138.1214,exact,
CAMPANIA (KINCORA),CAMPANIA (KINCORA),094212,-42.6867,147.4258,exact,
CAMPBELLTOWN (MOUNT ANNAN),CAMPBELLTOWN,088011,-37.2236,143.9616,exact,
CANUNGRA (DEFENCE),CANUNGRA (DEFENCE),140008,-28.0437,153.1871,exact,
CAPE JAFFA (THE LIMESTONE),CAPE JAFFA (THE LIMESTONE),026095,-36.9655,139.7164,exact,
CARTERS BORE,CARTERS BORE,037053,-20.9358,139.2964,exact,
CEDUNA AMO,CEDUNA (THEVENARD ABSLMA COMPARISION),018220,-32.149,133.6416,exact,
CEDUNA (THEVENARD NTC),CEDUNA (THEVENARD ABSLMA COMPARISION),018220,-32.149,133.6416,exact,
CHARLEVILLE AERO,CHARLEVILLE (FOUR MILE CREEK),063127,-33.45,148.9333,exact,
COFFIN BAY (POINT AVOID),COFFIN BAY (POINT AVOID),018230,-34.675,135.3362,exact,
COLAC (MOUNT GELLIBRAND),COLAC (ELLIMINYT),090174,-38.3933,143.5961,exact,
CORNER INLET (YANAKIE),CORNER INLET (YANAKIE),085301,-38.8051,146.1936,exact,
CRESSY (BRUMBYS CREEK),CRESSY (BRUMBYS CREEK),091375,-41.7114,147.082,exact,
CULTANA (DEFENCE),CULTANA (DEFENCE),018229,-32.6845,137.3689,exact,
CUMMINS AERO,CUMMINS AERO,018217,-34.2524,135.7135,exact,
CUNDERDIN AIRFIELD,CUNDERDIN AIRFIELD,010286,-31.6219,117.2217,exact,
CURTIN AERO,CURTIN,070248,-35.3333,149.0833,exact,
DERBY AERO,DERBY (BELL ST),091369,-41.142,147.7964,exact,
DUNALLEY (STROUD POINT),DUNALLEY (STROUD POINT),094254,-42.9017,147.7894,exact,
EILDON FIRE TOWER,EILDON FIRE TOWER,088164,-37.2091,145.8423,exact,
EVANS HEAD RAAF BOMBING RANGE,EVANS HEAD RAAF BOMBING RANGE AWS,058212,-29.183,153.3964,fuzzy,0.9230769230769231
FINGAL (FLEMING ST),FINGAL (FLEMING ST),092163,-41.643,147.98,exact,
FITZROY CROSSING AERO,FITZROY CROSSING AERO,003093,-18.1814,125.5619,exact,
FRANKSTON (BALLAM PARK),FRANKSTON (BALLAM PARK),086388,-38.1517,145.1615,exact,
GARDEN ISLAND HSF,GARDEN ISLAND HSF,009256,-32.2433,115.6839,exact,
GILES METEOROLOGICAL OFFICE,GILES METEOROLOGICAL OFFICE,013017,-25.0341,128.301,exact,
GINGIN AERO,GINGIN AERO,009178,-31.4628,115.8642,exact,
GRAFTON RESEARCH STN,GRAFTON RESEARCH STN,058077,-29.6224,152.9605,exact,
GRAMPIANS (MOUNT WILLIAM),GRAMPIANS (MOUNT WILLIAM),079103,-37.295,142.6039,exact,
GREENBANK (DEFENCE),GREENBANK (DEFENCE),140009,-27.6932,152.9935,exact,
GROVE (RESEARCH STATION),GROVE (RESEARCH STATION) (AUTO EVAP),094280,-42.9844,147.0756,exact,
GUNNEDAH RESOURCE CENTRE,GUNNEDAH RESOURCE CENTRE,055024,-31.0261,150.2687,exact,
HARTZ MOUNTAIN (KEOGHS PIMPLE),HARTZ MOUNTAIN (KEOGHS PIMPLE),094191,-43.2006,146.7683,exact,
HOLSWORTHY DEFENCE,GOLDSWORTHY,004074,-20.3422,119.5206,fuzzy,0.8571428571428571
HORSLEY PARK EQUESTRIAN CENTRE,HORSLEY PARK EQUESTRIAN CENTRE AWS,067119,-33.851,150.8567,fuzzy,0.92
INVERELL RESEARCH CENTRE,INVERELL (FISHER RD),056246,-29.7853,151.1606,exact,
